,Adj Close,Volume,copper_price,silver_price,gold_price,EURUSD=X_price,JPY=X_price,CNY=X_price,PLN=X_price,sp500_price,DJIA_price,NASDAQ_Composite_price,FTSE_100_price,DAX_price,CAC_40_price,NIKKEI_225_price,SHANGHAI_Composite_price,Hang_Seng_Index_price,BSE_Sensex_price,ASX_200_price,GMMP_ETF_price,RESM_ETF_price,WIG20_price,WIG20_volume,WIG20_change,inflation_rate,interest_rate,M3_rate,ma14,ma50,ma100,ma200,dates,net_sales_revenue,profit_with_operations,profit_gross,profit_net,amortization,EBITDA,assets,equity,profit_per_share,book_value_per_share,quarters,Adj Close_lag_1,Adj Close_lag_2,Adj Close_lag_3,Adj Close_lag_4,Adj Close_lag_5,Adj Close_lag_6,Adj Close_lag_7,Adj Close_lag_8,Adj Close_lag_9,Adj Close_lag_10,Adj Close_lag_11,Adj Close_lag_12,Adj Close_lag_13,Adj Close_lag_14,target_class
14,27.606173988759092,1045429,2.609999895095825,17.549999237060547,118.54000091552734,1.073767900466919,112.572998046875,6.906000137329102,3.969949960708618,2344.02001953125,20668.009765625,5793.830078125,7378.2998046875,11962.1298828125,5002.43017578125,19455.880859375,3261.611083984375,24593.119140625,29485.44921875,5774.60009765625,21.479101181030273,43.27251052856445,2252.57,25940000.0,-1.27,2.0,1.5,299567.2494061758,27.74564939148757,27.52273222336023,27.490650028266497,27.59110419729282,2017-03-21,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175,1,28.18971937455927,28.50393807236769,28.7059358066731,27.707173762015664,27.88672730362047,27.505177839917977,26.48397160255994,26.349310070771786,27.045074607867242,26.697192339319514,27.89794849386691,28.638603228571295,29.22214498995602,29.513919495063835,down_less_5%
15,27.55006622531918,822460,2.621999979019165,17.545000076293945,118.83000183105469,1.081244707107544,111.53199768066406,6.884900093078613,3.956629991531372,2348.449951171875,20661.30078125,5821.64013671875,7324.7001953125,11904.1201171875,4994.7001953125,19041.380859375,3245.219970703125,24320.41015625,29167.6796875,5684.5,21.63068389892578,42.8935546875,2223.84,25580000.0,-1.28,2.0,1.5,299567.2494061758,27.626215194013508,27.52273222336023,27.490650028266497,27.59110419729282,2017-03-22,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175,1,27.606173988759092,28.18971937455927,28.50393807236769,28.7059358066731,27.707173762015664,27.88672730362047,27.505177839917977,26.48397160255994,26.349310070771786,27.045074607867242,26.697192339319514,27.89794849386691,28.638603228571295,29.22214498995602,down_less_5%
16,27.247070529964926,916908,2.6364998817443848,17.562999725341797,118.66999816894531,1.0790164470672607,111.36900329589844,6.882999897003174,3.9658401012420654,2345.9599609375,20656.580078125,5817.68994140625,7340.7001953125,12039.6796875,5032.759765625,19085.310546875,3248.550048828125,24327.69921875,29332.16015625,5708.0,21.433631896972656,42.32510757446289,2235.33,24460000.0,0.52,2.0,1.5,299567.2494061758,27.526820001255913,27.52273222336023,27.490650028266497,27.59110419729282,2017-03-23,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175,1,27.55006622531918,27.606173988759092,28.18971937455927,28.50393807236769,28.7059358066731,27.707173762015664,27.88672730362047,27.505177839917977,26.48397160255994,26.349310070771786,27.045074607867242,26.697192339319514,27.89794849386691,28.638603228571295,up_less_5%
17,26.932853644364236,478413,2.623500108718872,17.719999313354492,118.86000061035156,1.0783880949020386,111.00399780273438,6.885799884796143,3.9541900157928467,2343.97998046875,20596.720703125,5828.740234375,7336.7998046875,12064.26953125,5020.89990234375,19262.529296875,3269.445068359375,24358.26953125,29421.400390625,5753.5,21.312362670898438,42.13562774658203,2234.82,14350000.0,-0.02,2.0,1.5,299567.2494061758,27.457884654862863,27.52273222336023,27.490650028266497,27.59110419729282,2017-03-24,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175,1,27.247070529964926,27.55006622531918,27.606173988759092,28.18971937455927,28.50393807236769,28.7059358066731,27.707173762015664,27.88672730362047,27.505177839917977,26.48397160255994,26.349310070771786,27.045074607867242,26.697192339319514,27.89794849386691,up_less_5%
18,26.315644687824747,855109,2.625,18.079999923706055,119.52999877929688,1.0849517583847046,110.552001953125,6.853499889373779,3.9302399158477783,2341.590087890625,20550.98046875,5840.3701171875,7293.5,11996.0703125,5017.43017578125,18985.58984375,3266.955078125,24193.69921875,29237.150390625,5746.7001953125,20.933412551879883,41.89877700805664,2201.88,15550000.0,-1.47,2.0,1.5,299567.2494061758,27.430631251184668,27.52273222336023,27.490650028266497,27.59110419729282,2017-03-27,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175,1,26.932853644364236,27.247070529964926,27.55006622531918,27.606173988759092,28.18971937455927,28.50393807236769,28.7059358066731,27.707173762015664,27.88672730362047,27.505177839917977,26.48397160255994,26.349310070771786,27.045074607867242,26.697192339319514,up_less_5%
19,26.708413529565952,449615,2.6689999103546143,18.225000381469727,119.04000091552734,1.0860947370529175,110.77100372314453,6.872099876403809,3.909409999847412,2358.570068359375,20701.5,5875.14013671875,7343.39990234375,12149.419921875,5046.2001953125,19202.869140625,3252.947998046875,24345.869140625,29409.51953125,5821.2001953125,21.145620346069336,42.32510757446289,2225.41,20400000.0,1.07,2.0,1.5,299567.2494061758,27.406584031306004,27.52273222336023,27.490650028266497,27.59110419729282,2017-03-28,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175,1,26.315644687824747,26.932853644364236,27.247070529964926,27.55006622531918,27.606173988759092,28.18971937455927,28.50393807236769,28.7059358066731,27.707173762015664,27.88672730362047,27.505177839917977,26.48397160255994,26.349310070771786,27.045074607867242,up_less_5%
20,26.596192566062946,1195606,2.6700000762939453,18.22800064086914,119.33000183105469,1.0817711353302002,111.22599792480469,6.878300189971924,3.9196600914001465,2361.1298828125,20659.3203125,5897.5498046875,7373.7001953125,12203.0,5069.0400390625,19217.48046875,3241.31396484375,24392.05078125,29531.4296875,5873.5,21.441211700439453,42.44353485107422,2214.45,22060000.0,-0.49,2.0,1.5,299567.2494061758,27.42421849525537,27.52273222336023,27.490650028266497,27.59110419729282,2017-03-29,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175,1,26.708413529565952,26.315644687824747,26.932853644364236,27.247070529964926,27.55006622531918,27.606173988759092,28.18971937455927,28.50393807236769,28.7059358066731,27.707173762015664,27.88672730362047,27.505177839917977,26.48397160255994,26.349310070771786,up_less_5%
21,26.78696911012192,678260,2.6649999618530273,18.184999465942383,118.47000122070312,1.0759629011154175,111.15399932861328,6.887700080871582,3.9272000789642334,2368.06005859375,20728.490234375,5914.33984375,7369.5,12256.4296875,5089.64013671875,19063.220703125,3210.237060546875,24301.08984375,29647.419921875,5896.2001953125,21.395727157592773,42.18299865722656,2209.1,22100000.0,-0.24,2.0,1.5,299567.2494061758,27.445861174366943,27.52273222336023,27.490650028266497,27.59110419729282,2017-03-30,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175,1,26.596192566062946,26.708413529565952,26.315644687824747,26.932853644364236,27.247070529964926,27.55006622531918,27.606173988759092,28.18971937455927,28.50393807236769,28.7059358066731,27.707173762015664,27.88672730362047,27.505177839917977,26.48397160255994,down_less_5%
22,25.990202987562167,788879,2.6465001106262207,18.235000610351562,118.72000122070312,1.0687072277069092,111.7760009765625,6.888999938964844,3.939539909362793,2362.719970703125,20663.220703125,5911.740234375,7322.89990234375,12312.8701171875,5122.509765625,18909.259765625,3222.513916015625,24111.58984375,29620.5,5864.89990234375,21.28204345703125,42.41984939575195,2175.96,25580000.0,-1.5,2.0,1.5,299567.2494061758,27.337648684912953,27.52273222336023,27.490650028266497,27.59110419729282,2017-03-31,4911000,730000,1031000,710000,371000,1101000,33629000,16635000,3.55,83.175,1,26.78696911012192,26.596192566062946,26.708413529565952,26.315644687824747,26.932853644364236,27.247070529964926,27.55006622531918,27.606173988759092,28.18971937455927,28.50393807236769,28.7059358066731,27.707173762015664,27.88672730362047,27.505177839917977,up_less_5%
23,26.472750412313502,551415,2.5975000858306885,18.19099998474121,119.3499984741211,1.0668829679489136,111.26499938964844,6.880199909210205,3.9638800621032715,2358.840087890625,20650.2109375,5894.68017578125,7282.7001953125,12257.2001953125,5085.91015625,18983.23046875,3222.513916015625,24261.48046875,29910.220703125,5872.7001953125,21.16836166381836,42.277740478515625,2219.88,15150000.0,2.02,2.0,1.5,299567.2494061758,27.236650335533884,27.52273222336023,27.490650028266497,27.59110419729282,2017-04-03,4802000,235000,618000,341000,401000,636000,33501000,16963000,1.705,84.815,2,25.990202987562167,26.78696911012192,26.596192566062946,26.708413529565952,26.315644687824747,26.932853644364236,27.247070529964926,27.55006622531918,27.606173988759092,28.18971937455927,28.50393807236769,28.7059358066731,27.707173762015664,27.88672730362047,down_less_5%
