,Adj Close,Volume,copper_price,silver_price,gold_price,EURUSD=X_price,JPY=X_price,CNY=X_price,PLN=X_price,sp500_price,DJIA_price,NASDAQ_Composite_price,FTSE_100_price,DAX_price,CAC_40_price,NIKKEI_225_price,SHANGHAI_Composite_price,Hang_Seng_Index_price,BSE_Sensex_price,ASX_200_price,GMMP_ETF_price,RESM_ETF_price,WIG20_price,WIG20_volume,WIG20_change,inflation_rate,interest_rate,M3_rate,ma14,ma50,ma100,ma200,dates,net_sales_revenue,profit_with_operations,profit_gross,profit_net,amortization,EBITDA,assets,equity,profit_per_share,book_value_per_share,quarters,Adj Close_lag_1,Adj Close_lag_2,Adj Close_lag_3,Adj Close_lag_4,Adj Close_lag_5,Adj Close_lag_6,Adj Close_lag_7,Adj Close_lag_8,Adj Close_lag_9,Adj Close_lag_10,Adj Close_lag_11,Adj Close_lag_12,Adj Close_lag_13,Adj Close_lag_14
1534,32.957244655581945,409128,4.105500221252441,22.097000122070312,173.02999877929688,1.0715816020965576,131.38699340820312,6.7881999015808105,4.418799877166748,4081.5,33699.87890625,11789.580078125,7911.2001953125,15523.419921875,7188.35986328125,27584.349609375,3270.3798828125,21624.359375,60806.21875,7490.2998046875,44.5099983215332,90.44999694824219,1896.24,12170000.0,0.51,18.4,6.75,506270.783847981,33.804716350347014,31.994774390286338,27.773824207006896,27.501919626340165,2023-02-09,8151000,-799000,-376000,-494000,634000,-165000,53444000,32089000,-2.47,160.445,1,32.76722017772973,32.86223422886357,32.042753894651874,32.719714964370546,33.59857409696964,32.98099907446927,33.40854961911743,34.1330159021953,34.7268401302238,35.451306413301666,35.19002230320294,35.3206643582523,35.10688908592822,34.32304038004751
1535,31.74584178063762,714488,4.027500152587891,22.034000396728516,173.36000061035156,1.0742292404174805,131.5189971923828,6.779699802398682,4.424200057983398,4090.4599609375,33869.26953125,11718.1201171875,7882.5,15307.98046875,7129.72998046875,27670.98046875,3260.669921875,21190.419921875,60682.69921875,7433.7001953125,43.869998931884766,88.86000061035156,1848.04,19720000.0,-2.54,18.4,6.75,506270.783847981,33.56464154282626,32.07957244655582,27.877980954856596,27.495185190594963,2023-02-10,8151000,-799000,-376000,-494000,634000,-165000,53444000,32089000,-2.47,160.445,1,32.957244655581945,32.76722017772973,32.86223422886357,32.042753894651874,32.719714964370546,33.59857409696964,32.98099907446927,33.40854961911743,34.1330159021953,34.7268401302238,35.451306413301666,35.19002230320294,35.3206643582523,35.10688908592822
1536,31.62707693503192,403478,4.086999893188477,21.81800079345703,172.47999572753906,1.0677714347839355,131.55099487304688,6.808300018310547,4.461231231689453,4137.2900390625,34245.9296875,11891.7900390625,7947.60009765625,15397.33984375,7208.58984375,27427.3203125,3284.159912109375,21164.419921875,60431.83984375,7417.7998046875,44.209999084472656,89.8499984741211,1853.29,13480000.0,0.28,18.4,6.75,506270.783847981,33.30081386973909,32.142280270537974,27.987980949057537,27.488606405371442,2023-02-13,8151000,-799000,-376000,-494000,634000,-165000,53444000,32089000,-2.47,160.445,1,31.74584178063762,32.957244655581945,32.76722017772973,32.86223422886357,32.042753894651874,32.719714964370546,33.59857409696964,32.98099907446927,33.40854961911743,34.1330159021953,34.7268401302238,35.451306413301666,35.19002230320294,35.3206643582523
1537,31.76959619952494,350088,4.110000133514404,21.841999053955078,172.61000061035156,1.0730419158935547,132.33700561523438,6.821899890899658,4.459319114685059,4136.1298828125,34089.26953125,11960.150390625,7953.89990234375,15380.5595703125,7213.81005859375,27602.76953125,3293.280029296875,21113.759765625,61032.26171875,7430.89990234375,44.75,90.1500015258789,1852.67,12570000.0,-0.03,18.4,6.75,506270.783847981,33.056497719476376,32.21615201900237,28.091662662895732,27.480318816993698,2023-02-14,8151000,-799000,-376000,-494000,634000,-165000,53444000,32089000,-2.47,160.445,1,31.62707693503192,31.74584178063762,32.957244655581945,32.76722017772973,32.86223422886357,32.042753894651874,32.719714964370546,33.59857409696964,32.98099907446927,33.40854961911743,34.1330159021953,34.7268401302238,35.451306413301666,35.19002230320294
1538,31.49643850439801,275027,4.052000045776367,21.54599952697754,170.88999938964844,1.0735719203948975,132.99099731445312,6.825900077819824,4.446300029754639,4147.60009765625,34128.05078125,12070.58984375,7997.7998046875,15506.33984375,7300.85986328125,27501.859375,3280.489990234375,20812.169921875,61275.08984375,7352.2001953125,44.31999969482422,89.66000366210938,1870.03,11200000.0,0.94,18.4,6.75,506270.783847981,32.77400715455469,32.27007128790268,28.191710175357915,27.476430725315122,2023-02-15,8151000,-799000,-376000,-494000,634000,-165000,53444000,32089000,-2.47,160.445,1,31.76959619952494,31.62707693503192,31.74584178063762,32.957244655581945,32.76722017772973,32.86223422886357,32.042753894651874,32.719714964370546,33.59857409696964,32.98099907446927,33.40854961911743,34.1330159021953,34.7268401302238,35.451306413301666
1539,31.828978622327792,289000,4.165500164031982,21.68400001525879,170.75,1.0691757202148438,133.9029998779297,6.851900100708008,4.455150127410889,4090.409912109375,33696.8515625,11855.830078125,8012.5,15533.6396484375,7366.16015625,27696.439453125,3249.030029296875,20987.669921875,61319.51171875,7410.2998046875,44.560001373291016,88.22000122070312,1865.51,18650000.0,-0.24,18.4,6.75,506270.783847981,32.56701704684783,32.33467935666336,28.3080997240515,27.475243076859066,2023-02-16,8151000,-799000,-376000,-494000,634000,-165000,53444000,32089000,-2.47,160.445,1,31.49643850439801,31.76959619952494,31.62707693503192,31.74584178063762,32.957244655581945,32.76722017772973,32.86223422886357,32.042753894651874,32.719714964370546,33.59857409696964,32.98099907446927,33.40854961911743,34.1330159021953,34.7268401302238
1540,31.686459357834767,391189,4.113999843597412,21.694000244140625,171.25999450683594,1.0665756464004517,134.07400512695312,6.8597002029418945,4.471089839935303,4079.090087890625,33826.69140625,11787.26953125,8004.39990234375,15482.0,7347.72021484375,27513.130859375,3224.02001953125,20719.810546875,61002.5703125,7346.7998046875,44.290000915527344,85.4800033569336,1859.26,14930000.0,-0.34,18.4,6.75,506270.783847981,32.39226300796493,32.39762468859023,28.424441756658485,27.479857610127137,2023-02-17,8151000,-799000,-376000,-494000,634000,-165000,53444000,32089000,-2.47,160.445,1,31.828978622327792,31.49643850439801,31.76959619952494,31.62707693503192,31.74584178063762,32.957244655581945,32.76722017772973,32.86223422886357,32.042753894651874,32.719714964370546,33.59857409696964,32.98099907446927,33.40854961911743,34.1330159021953
1541,32.470308063715486,322028,4.113999843597412,21.694000244140625,171.25999450683594,1.0684444904327393,134.3070068359375,6.857600212097168,4.454354763031006,4079.090087890625,33826.69140625,11787.26953125,8014.2998046875,15477.5498046875,7335.60986328125,27531.939453125,3290.340087890625,20886.9609375,60691.5390625,7351.5,44.290000915527344,85.4800033569336,1849.48,9560000.0,-0.53,18.4,6.75,506270.783847981,32.325245754007646,32.466508299041536,28.546864543561416,27.49467554341586,2023-02-20,8151000,-799000,-376000,-494000,634000,-165000,53444000,32089000,-2.47,160.445,1,31.686459357834767,31.828978622327792,31.49643850439801,31.76959619952494,31.62707693503192,31.74584178063762,32.957244655581945,32.76722017772973,32.86223422886357,32.042753894651874,32.719714964370546,33.59857409696964,32.98099907446927,33.40854961911743
1542,32.20902757803221,304789,4.234499931335449,21.868999481201172,170.6199951171875,1.068261981010437,134.33599853515625,6.854100227355957,4.43653678894043,3997.340087890625,33129.58984375,11492.2998046875,7977.7998046875,15397.6201171875,7308.64990234375,27473.099609375,3306.52001953125,20529.490234375,60672.71875,7336.2998046875,44.209999084472656,85.31999969482422,1825.89,14630000.0,-1.28,18.4,6.75,506270.783847981,32.270104932833576,32.5332541567696,28.668907310503965,27.517180916249327,2023-02-21,8151000,-799000,-376000,-494000,634000,-165000,53444000,32089000,-2.47,160.445,1,32.470308063715486,31.686459357834767,31.828978622327792,31.49643850439801,31.76959619952494,31.62707693503192,31.74584178063762,32.957244655581945,32.76722017772973,32.86223422886357,32.042753894651874,32.719714964370546,33.59857409696964,32.98099907446927
1543,30.522565320665084,669184,4.202499866485596,21.660999298095703,169.66000366210938,1.065200924873352,134.9759979248047,6.872499942779541,4.454800128936768,3991.050048828125,33045.08984375,11507.0703125,7930.60009765625,15399.8896484375,7299.259765625,27104.3203125,3291.14990234375,20423.83984375,59744.98046875,7314.5,43.349998474121094,84.06999969482422,1796.87,17930000.0,-1.59,18.4,6.75,506270.783847981,32.05039002024039,32.57125890736342,28.773752914754905,27.534886104194115,2023-02-22,8151000,-799000,-376000,-494000,634000,-165000,53444000,32089000,-2.47,160.445,1,32.20902757803221,32.470308063715486,31.686459357834767,31.828978622327792,31.49643850439801,31.76959619952494,31.62707693503192,31.74584178063762,32.957244655581945,32.76722017772973,32.86223422886357,32.042753894651874,32.719714964370546,33.59857409696964
